ITEM NO.,PART NUMBER,DESCRIPTION,QTY.
1,CS.04-C,,1
2,0.375x0.875x0.280_Flanged_217-2733,,1
3,CS.05-C,,1
4,Falcon500_Motor_Without_Shaft_217-6515,,1
5,Falcon500_Short_Shaft_217-6958,,1
6,8T_20DP_10T_C-C_Falcon500_Steel_Pinion_Gear_217-6915,,1
7,CS.06-C,,1
8,CS.07-CT,,1
9,NEO550_Motor_REV-21-1651,,1
10,4668K105,Permanently Lubricated Stainless Steel Ball Bearing,52
11,CS.08-P,,48
12,19T_20DP_375_Hex_Steel_Gear_am-0176,,1
13,19T_32DP_550_Pinion_Gear_am-0604,,1
14,60T_32DP_375_Hex_Aluminum_Gear_217-5863,,1
15,CS.11-P,,1
16,7806K64,Thrust Ball Bearing,1
17,CS.12-P,,1
18,CS.13-L,,2
19,CS.14-P,,13
20,CS.01-C,,1
21,CS.02-C,,1
22,4668K144,Permanently Lubricated Stainless Steel Ball Bearing,2
23,CS.10-O,,1
24,5972K211,Ball Bearing,1
25,CS.15-C,,1
26,MA3_Absolute_Encoder_am-2899,,1
27,CS.18-C,,1
28,91290A121,Black-Oxide Alloy Steel Socket Head Screw,13
29,CS.19-P,,1
30,91292A021,18-8 Stainless Steel Socket Head Screw,4
31,CS.20-P,,1
32,CS.21-LMT,,1
33,CS.17-C,,1
34,CS.22-L,,2
35,CS.09-CMT,,1
37,8x16x6mm_Radial_am-2095,,1
38,CS.24-O,,1
39,CS.23-L,,1
40,CS.25-LMT,,1
41,2x2x10mm_Machine_Key_am-1121,,1
42,CS.26-LT,,4
43,91294A234,,7
44,91280A224,,1
46,CS.37-C,,1
47,0.500x1.125_x0.313_Flanged_217-2731,,2
48,CS.27-LC,,1
49,45T_1.5M_Versahub_3-1_Bevel_Gear_SDS,,1
50,CS.29-LC,,1
51,CS.28-C,,1
52,CS.30-L,,1
53,98541A119,,2
54,CS.34-L,,2
55,91290A274,,2
56,CS.35-LT,,3
57,CS.36-GC,,2
58,91290A196,,2
59,91290A232,,3
60,90576A104,,8
61,92010A116,,4
62,91290A115,,2
63,92196A267,,8
64,92949A194,,1
65,CS.38-O,,2
67,91390A099,Alloy Steel Cup-Point Set Screw,1
68,CS.39-P,,1
69,CS.33-P,,1
70,CS.32-P,,1
71,CS.31-P,,1
72,92095A210,,4
73,91290A198,,6
